timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
21981490,1,1,1,0,0,0,0,0
22484611,1,1,1,0,0,0,0,0
22991615,1,1,1,0,0,0,0,0
23499525,1,1,1,0,0,0,0,0
24007988,1,1,1,0,0,0,0,0
24514517,1,1,1,0,0,0,0,0
25021524,1,1,1,0,0,0,0,0
25529725,1,1,1,0,0,0,0,0
26037656,1,1,1,0,0,0,0,0
26546487,1,1,1,0,0,0,0,0
27054490,1,1,1,0,0,0,0,0
27562504,1,1,1,0,0,0,0,0
28070673,1,1,1,0,0,0,0,0
28577519,1,1,1,0,0,0,0,0
29088910,1,1,1,0,0,0,0,0
29594492,1,1,1,0,0,0,0,0
30105516,1,1,1,0,0,0,0,0
30612490,1,1,1,0,0,0,0,0
31112711,1,1,1,0,0,0,0,0
31617513,1,1,1,0,0,0,0,0
32119056,1,1,1,0,0,0,0,0
32629105,1,1,1,0,0,0,0,0
33139425,1,1,1,0,0,0,0,0
33647014,1,1,1,0,0,0,0,0
34154484,1,1,1,0,0,0,0,0
34658490,1,1,1,0,0,0,0,0
35165937,1,1,1,0,0,0,0,0
35676489,1,1,1,0,0,0,0,0
36184661,1,1,1,0,0,0,0,0
36693806,1,1,1,0,0,0,0,0
37203656,1,1,1,0,0,0,0,0
37711888,1,1,1,0,0,0,0,0
38219609,1,1,1,0,0,0,0,0
38720233,1,1,1,0,0,0,0,0
39222491,1,1,1,0,0,0,0,0
39725536,1,1,1,0,0,0,0,0
40744906,1,1,1,0,0,0,0,0
41253881,1,1,1,0,0,0,0,0
41754483,1,1,1,0,0,0,0,0
42266262,1,1,1,0,0,0,0,0
42773829,1,1,1,0,0,0,0,0
43279523,1,1,1,0,0,0,0,0
43785675,1,1,1,0,0,0,0,0
44294750,1,1,1,0,0,0,0,0
44802947,1,1,1,0,0,0,0,0
45303482,1,1,1,0,0,0,0,0
45812488,1,1,1,0,0,0,0,0
46320871,1,1,1,0,0,0,0,0
46829859,1,1,1,0,0,0,0,0
47337489,1,1,1,0,0,0,0,0
47844086,1,1,1,0,0,0,0,0
48348059,1,1,1,0,0,0,0,0
49365645,1,1,1,0,0,0,0,0
49876186,1,1,1,0,0,0,0,0
50384112,1,1,1,0,0,0,0,0
50887223,1,1,1,0,0,0,0,0
51390276,1,1,1,0,0,0,0,0
51893730,1,1,1,0,0,0,0,0
52394488,1,1,1,0,0,0,0,0
52895123,1,1,1,0,0,0,0,0
53401501,1,1,1,0,0,0,0,0
53909615,1,1,1,0,0,0,0,0
54419330,1,1,1,0,0,0,0,0
54927735,1,1,1,0,0,0,0,0
55434536,1,1,1,0,0,0,0,0
55941763,1,1,1,0,0,0,0,0
56451486,1,1,1,0,0,0,0,0
56960914,1,1,1,0,0,0,0,0
57468388,1,1,1,0,0,0,0,0
57975511,1,1,1,0,0,0,0,0
58486394,1,1,1,0,0,0,0,0
58993730,1,1,1,0,0,0,0,0
59497924,1,1,1,0,0,0,0,0
60006552,1,1,1,0,0,0,0,0
60508715,1,1,1,0,0,0,0,0
61009710,1,1,1,0,0,0,0,0
61519582,1,1,1,0,0,0,0,0
62029501,1,1,1,0,0,0,0,0
62533540,1,1,1,0,0,0,0,0
63039020,1,1,1,0,0,0,0,0
63540990,1,1,1,0,0,0,0,0
64044520,1,1,1,0,0,0,0,0
64553522,1,1,1,0,0,0,0,0
65062781,1,1,1,0,0,0,0,0
65565669,1,1,1,0,0,0,0,0
66074490,1,1,1,0,0,0,0,0
66574698,1,1,1,0,0,0,0,0
67081586,1,1,1,0,0,0,0,0
67589906,1,1,1,0,0,0,0,0
68091225,1,1,1,0,0,0,0,0
68595200,1,1,1,0,0,0,0,0
69096493,1,1,1,0,0,0,0,0
69596703,1,1,1,0,0,0,0,0
70104966,1,1,1,0,0,0,0,0
70612041,1,1,1,0,0,0,0,0
71114537,1,1,1,0,0,0,0,0
71625545,1,1,1,0,0,0,0,0
72134664,1,1,1,0,0,0,0,0
72641556,1,1,1,0,0,0,0,0
73143620,1,1,1,0,0,0,0,0
73644652,1,1,1,0,0,0,0,0
74154528,1,1,1,0,0,0,0,0
74663700,1,1,1,0,0,0,0,0
75171670,1,1,1,0,0,0,0,0
75679527,1,1,1,0,0,0,0,0
76188330,1,1,1,0,0,0,0,0
76694487,1,1,1,0,0,0,0,0
77203503,1,1,1,0,0,0,0,0
77705759,1,1,1,0,0,0,0,0
78212485,1,1,1,0,0,0,0,0
78719942,1,1,1,0,0,0,0,0
79226491,1,1,1,0,0,0,0,0
79735676,1,1,1,0,0,0,0,0
80748520,1,1,1,0,0,0,0,0
81255493,1,1,1,0,0,0,0,0
81762497,1,1,1,0,0,0,0,0
82269489,1,1,1,0,0,0,0,0
82776484,1,1,1,0,0,0,0,0
83285490,1,1,1,0,0,0,0,0
83793487,1,1,1,0,0,0,0,0
84300671,1,1,1,0,0,0,0,0
84808489,1,1,1,0,0,0,0,0
85315693,1,1,1,0,0,0,0,0
85822810,1,1,1,0,0,0,0,0
86330638,1,1,1,0,0,0,0,0
86838485,1,1,1,0,0,0,0,0
88364009,1,1,1,0,0,0,0,0
88874024,1,1,1,0,0,0,0,0
89381515,1,1,1,0,0,0,0,0
89891811,1,1,1,0,0,0,0,0
90402762,1,1,1,0,0,0,0,0
90912658,1,1,1,0,0,0,0,0
91421491,1,1,1,0,0,0,0,0
91929490,1,1,1,0,0,0,0,0
92432385,1,1,1,0,0,0,0,0
92939031,1,1,1,0,0,0,0,0
93451471,1,1,1,0,0,0,0,0
93952653,1,1,1,0,0,0,0,0
94455695,1,1,1,0,0,0,0,0
94958752,1,1,1,0,0,0,0,0
95466523,1,1,1,0,0,0,0,0
95974169,1,1,1,0,0,0,0,0
96475521,1,1,1,0,0,0,0,0
96978493,1,1,1,0,0,0,0,0
97494926,1,1,1,0,0,0,0,0
98003708,1,1,1,0,0,0,0,0
98512898,1,1,1,0,0,0,0,0
99019485,1,1,1,0,0,0,0,0
99528635,1,1,1,0,0,0,0,0
100038575,1,1,1,0,0,0,0,0
100547539,1,1,1,0,0,0,0,0
101054489,1,1,1,0,0,0,0,0
101562519,1,1,1,0,0,0,0,0
102070165,1,1,1,0,0,0,0,0
102577029,1,1,1,0,0,0,0,0
103083580,1,1,1,0,0,0,0,0
103592488,1,1,1,0,0,0,0,0
104100656,1,1,1,0,0,0,0,0
104609535,1,1,1,0,0,0,0,0
105116633,1,1,1,0,0,0,0,0
105623483,1,1,1,0,0,0,0,0
106133486,1,1,1,0,0,0,0,0
106640619,1,1,1,0,0,0,0,0
107150644,1,1,1,0,0,0,0,0
107659473,1,1,1,0,0,0,0,0
108166489,1,1,1,0,0,0,0,0
108675602,1,1,1,0,0,0,0,0
109184553,1,1,1,0,0,0,0,0
109692527,1,1,1,0,0,0,0,0
110201492,1,1,1,0,0,0,0,0
110701521,1,1,1,0,0,0,0,0
111209892,1,1,1,0,0,0,0,0
111716519,1,1,1,0,0,0,0,0
112224531,1,1,1,0,0,0,0,0
112733520,1,1,1,0,0,0,0,0
112802457,0,1,1,0,0,0,0,0
113306486,0,1,1,0,0,0,0,0
