timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
22220020,22219210,0,nan,nan,0.030040763,0.025330776,0.40405574,0.0,0.0,0.0,0.032205094,0.029325476,0.024937179,-0.0003328046,0.0011172326,0.008942618,0.0,-0.20404188,-0.044372544,-0.25407004,-0.31150237,-0.01343903,nan,0.1,0.36241186,0.5511444,0.23123294,0.14667805,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
22729141,22728370,0,nan,nan,0.030239623,0.026952976,0.4098848,0.0,0.0,0.0,0.03265006,0.026614148,0.030532397,0.009653075,0.0011172326,0.008942618,0.0,0.6560669,-0.75596696,0.059852596,-0.30919653,-0.01343903,nan,0.1,0.33546105,0.54384494,0.21539366,0.14465088,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
23228304,23227494,0,nan,nan,0.032489765,0.031837456,0.40597063,0.0,0.0,0.0,0.015552425,0.0390897,-0.0006891668,-0.027088461,0.0011172326,0.008942618,0.0,-0.21374667,-0.25392747,-0.41346756,-0.3059445,-0.01343903,nan,0.1,0.3889746,0.54250884,0.24534275,0.14396389,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
23727622,23726669,0,nan,nan,0.016391534,0.049091782,0.33970025,0.0,0.0,0.0,-0.034378808,0.0057778163,-0.20320733,-0.22743301,0.0011172326,0.008942618,0.0,0.47226813,0.66078115,-0.2632451,-0.2903558,-0.01343903,nan,0.1644471,0.50650513,0.5415378,0.3475425,0.14359751,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
24226633,24225845,0,nan,nan,0.0023928662,0.035610273,0.25857717,0.0,0.0,0.0,-0.0678645,-0.043666508,-0.017172182,-0.025812259,0.0011172326,0.008942618,0.0,-0.43249017,-0.2510528,1.2303131,-0.26031718,-0.01343903,nan,0.24557018,0.6709088,0.5346485,0.47377285,0.14240436,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
24725969,24725021,0,nan,nan,-0.044487853,0.007918706,0.28449023,0.0,0.0,0.0,-0.12617108,-0.058919862,-0.08121278,-0.085651845,0.0011172326,0.008942618,0.0,0.058953576,0.90259486,-1.2658029,-0.2817767,-0.01343903,nan,0.21965712,0.89774054,0.53448325,0.60950714,0.14249487,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
25729319,25728370,0,nan,nan,-0.19409716,-0.06740546,-0.071029276,0.0,0.0,0.0,-0.17721663,-0.07732791,-0.20098725,-0.21445307,0.0011172326,0.008942618,0.0,-0.085146524,0.02287064,0.58073944,-0.15560903,-0.01343903,nan,0.5751766,1.5578282,0.52926946,0.8874855,0.14226064,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
26727501,26726727,0,nan,nan,-0.3355027,-0.12554955,-0.25221962,0.0,0.0,0.0,-0.07263824,-0.035024766,-0.24507439,-0.27527004,0.0011172326,0.008942618,0.0,0.29211903,-0.09202436,0.10023986,0.29440603,-0.01343903,nan,0.75636697,2.4196205,0.53163105,1.1211601,0.1435622,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
27725817,27725109,0,nan,nan,-0.28839785,-0.13314065,-0.5210605,0.0,0.0,0.0,0.057387147,0.004209743,-0.16794768,-0.20318982,0.0011172326,0.008942618,0.0,0.10491786,0.14352846,0.023471959,0.56123304,-0.01343903,nan,1.0252079,3.2673995,0.5289215,1.2443066,0.14423561,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
28729188,28728430,0,nan,nan,-0.07563528,0.014144222,-0.67026883,0.0,0.0,0.0,0.22900489,0.25634202,-0.08862496,-0.12426931,0.0011172326,0.008942618,0.0,0.35525727,0.26178035,-0.42520928,0.807186,-0.01343903,nan,1.1744162,3.8667133,0.52719253,1.2475247,0.1452188,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,0,0
29228502,29227656,0,nan,nan,0.0783354,0.17516848,-0.82222474,0.0,0.0,0.0,0.29158315,0.38364887,-0.40802786,-0.44626027,0.0011172326,0.008942618,0.0,-0.090965904,0.31363833,-0.39725384,0.9387798,-0.01343903,nan,1.3263721,4.131869,0.529594,1.2392366,0.14629225,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,0,0
29727594,29726791,0,nan,nan,0.20525804,0.36306483,-1.0658531,0.0,0.0,0.0,0.26271904,0.4667589,-0.43659636,-0.4678498,0.0011172326,0.008942618,0.0,-0.00067566655,0.07167606,0.29265356,1.0829407,-0.01343903,nan,1.5700004,4.3414087,0.5321,1.2170975,0.147184,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,0,0
30228441,30225970,0,nan,nan,0.29696944,0.5148385,-1.2649062,0.0,0.0,0.0,0.27348086,0.44317693,-0.3804973,-0.4038317,0.0011172326,0.008942618,0.0,-0.009801331,0.08347567,-0.043307275,1.223503,-0.009521439,nan,1.7690535,4.2898664,0.52853405,1.1268435,0.14627546,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
30727535,30725151,0,nan,nan,0.37678036,0.63419217,-1.4530821,0.0,0.0,0.0,0.2909267,0.4811393,-0.313036,-0.33212924,0.0011172326,0.008942618,0.0,-0.041432064,0.070008844,0.14035432,1.3508431,-0.009521439,nan,1.9572294,4.3883257,0.5309965,1.08677,0.14658421,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
31220053,31219341,0,nan,nan,0.43721136,0.7385602,-1.5563091,0.0,0.0,0.0,0.28437948,0.48446435,-0.072968185,-0.09191222,0.0011172326,0.008942618,0.0,0.1325065,0.071344495,0.45713073,1.442371,-0.009521439,nan,2.0604565,4.4422126,0.53219134,1.0528532,0.14693019,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
31729284,31728514,0,nan,nan,0.48842403,0.8176458,-1.5380127,0.0,0.0,0.0,0.30705062,0.49460736,0.12809548,0.11459413,0.0011172326,0.008942618,0.0,0.04889003,0.09010556,0.22194964,1.5177346,-0.009521439,nan,2.04216,4.285061,0.5296246,0.9923115,0.14695397,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
32228411,32227689,0,nan,nan,0.53597057,0.88933253,-1.5180249,0.0,0.0,0.0,0.2985719,0.5156824,-0.05365262,-0.07485518,0.0011172326,0.008942618,0.0,-0.14468358,0.070945315,-0.5061318,1.5943736,-0.009521439,nan,2.0221722,4.3105955,0.5320393,0.98320925,0.14808348,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
32729336,32726871,0,nan,nan,0.57210577,0.9687226,-1.6372329,0.0,0.0,0.0,0.30109045,0.5508091,-0.3005441,-0.3270687,0.0011172326,0.008942618,0.0,0.07559333,0.024424532,0.46773288,1.6726326,-0.009521439,nan,2.1413803,4.1405487,0.5345171,0.9524541,0.14946519,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
33226841,33226053,0,nan,nan,0.59850353,1.0292734,-1.7582023,0.0,0.0,0.0,0.2775282,0.5066226,-0.11914219,-0.14660136,0.0011172326,0.008942618,0.0,-0.19257596,0.002864454,0.405017,1.7385507,-0.009521439,nan,2.2623496,4.1597915,0.5310639,0.96051186,0.14976704,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
33732764,33730228,0,nan,nan,0.61064017,1.0659934,-1.827675,0.0,0.0,0.0,0.248945,0.45185164,-0.07353884,-0.11023137,0.0011172326,0.008942618,0.0,0.067465,-0.09487623,0.38133812,1.7998356,-0.009521439,nan,2.3318224,4.180788,0.53388643,0.97433895,0.15114483,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
34230274,34229434,0,nan,nan,0.6055878,1.0544047,-1.875488,0.0,0.0,0.0,0.24381712,0.38991508,0.0032510275,-0.040907126,0.0011172326,0.008942618,0.0,-0.07801951,-0.3298149,0.07556736,1.8513392,-0.009521439,nan,2.3796353,4.036687,0.5307916,0.9669397,0.15143959,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
34719472,34718613,0,nan,nan,0.6051752,1.0278641,-1.8843099,0.0,0.0,0.0,0.23065872,0.35266396,0.12774922,0.07217899,0.0011172326,0.008942618,0.0,-0.016022814,0.057952527,0.21805261,1.8911191,-0.009521439,nan,2.3884573,4.0642447,0.5327727,0.9871863,0.15249124,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
35228703,35227836,0,nan,nan,0.61026144,1.0020831,-1.7830719,0.0,0.0,0.0,0.22749387,0.35066605,0.43156096,0.36766526,0.0011172326,0.008942618,0.0,-0.004188709,-0.056675162,0.85956484,1.882382,-0.009521439,nan,2.2872193,3.9513457,0.5370656,0.98705393,0.1535963,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
35727792,35726966,0,nan,nan,0.6274379,0.9733136,-1.6140677,0.0,0.0,0.0,0.33099103,0.3339215,0.3336403,0.2596373,0.0011172326,0.008942618,0.0,0.2889724,-0.034929965,-0.7186779,1.9564472,-0.009521439,nan,2.118215,4.002258,0.53398937,1.0121669,0.15355018,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
36227033,36226151,0,nan,nan,0.7247262,0.9619385,-1.5419917,0.0,0.0,0.0,0.5369405,0.40477887,0.21114299,0.12140983,0.0011172326,0.008942618,0.0,0.39098787,0.13829459,-0.115303434,1.9996516,-0.009521439,nan,2.046139,4.062081,0.53722054,1.0375072,0.15461132,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
36721246,36720348,0,nan,nan,0.88451993,0.9768115,-1.5083684,0.0,0.0,0.0,0.6392667,0.3960045,0.13410893,0.042907838,0.0011172326,0.008942618,0.0,0.24269776,0.053470585,-0.08459728,1.9844201,-0.009521439,nan,2.0125158,3.9599266,0.53917754,1.0350481,0.1552803,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
37230434,37229515,0,nan,nan,1.0576266,0.9656109,-1.4954951,0.0,0.0,0.0,0.70391196,0.35505053,0.07786322,-0.0077050524,0.0011172326,0.008942618,0.0,0.044480134,0.20744088,0.19739187,1.9249429,-0.009521439,nan,1.9996424,4.0415454,0.53725326,1.0599654,0.15511177,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
37729615,37728701,0,nan,nan,1.206535,0.9551461,-1.4830198,0.0,0.0,0.0,0.64928377,0.33997318,0.17156206,0.0811511,0.0011172326,0.008942618,0.0,-0.18865523,-0.088745974,0.0050194287,1.8986171,-0.009521439,nan,1.9871671,3.9576201,0.5403342,1.0535309,0.15557677,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
38228790,38227888,0,nan,nan,1.2876377,0.8869648,-1.4422022,0.0,0.0,0.0,0.6638672,0.16370669,0.20885648,0.11378851,0.0011172326,0.008942618,0.0,0.5019891,-0.1492077,0.38631156,1.8697361,-0.009521439,nan,1.9463496,4.0392227,0.54331684,1.0706265,0.15585227,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
39228654,39226267,0,nan,nan,1.5867481,0.5498385,-1.3485004,0.0,0.0,0.0,0.9111701,-0.18553704,0.043726433,-0.055078305,0.0011172326,0.008942618,0.0,0.40922076,-0.28745097,-0.4679148,1.5819415,-0.009521439,nan,1.8526478,4.038653,0.54209846,1.0675443,0.1550521,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,0
