timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
22211770,22211770,40,0,0,0,1498,1495,1065,1932,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
22729320,22729320,40,0,0,0,1498,1495,1065,1497,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
23208530,23208530,40,0,0,0,1498,1495,1159,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
23709032,23709032,40,0,0,0,1497,1495,1181,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
24206853,24206853,40,0,0,0,1497,1495,1172,1499,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
24727878,24727878,40,0,0,0,1500,1495,1209,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
25226077,25226077,40,0,0,0,1496,1494,1185,1545,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
25722494,25722494,40,0,0,0,1497,1480,1178,1560,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
26224585,26224585,40,0,0,0,1495,1440,1194,1566,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
26726354,26726354,40,0,0,0,1502,1481,1202,1559,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
27220014,27220014,40,0,0,0,1497,1449,1186,1552,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
27721385,27721385,40,0,0,0,1518,1448,1190,1552,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
28221717,28221717,40,0,0,0,1526,1429,1181,1548,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
28721574,28721574,40,0,0,0,1498,1429,1210,1550,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
29217055,29217055,40,0,0,0,1535,1455,1203,1551,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
29719671,29719671,40,0,0,0,1496,1482,1187,1552,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
30219069,30219069,40,0,0,0,1507,1444,1197,1547,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
30714421,30714421,40,0,0,0,1518,1452,1182,1539,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
31216690,31216690,40,0,0,0,1496,1434,1182,1535,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
31707618,31707618,40,0,0,0,1496,1446,1195,1533,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
32226820,32226820,40,0,0,0,1497,1442,1208,1532,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
32722451,32722451,40,0,0,0,1516,1448,1183,1528,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
33205580,33205580,40,0,0,0,1513,1448,1190,1527,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
33729390,33729390,40,0,0,0,1497,1453,1190,1522,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
34228673,34228673,40,0,0,0,1496,1442,1186,1522,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
34717777,34717777,40,0,0,0,1495,1439,1175,1522,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
35226872,35226872,40,0,0,0,1467,1452,1183,1523,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
35728009,35728009,40,0,0,0,1402,1441,1195,1515,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
36207987,36207987,40,0,0,0,1454,1447,1194,1487,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
36727259,36727259,40,0,0,0,1462,1447,1190,1468,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
37225309,37225309,40,0,0,0,1473,1435,1185,1483,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
37724294,37724294,40,0,0,0,1492,1497,1189,1490,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
38227009,38227009,40,0,0,0,1438,1490,1184,1449,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
38724195,38724195,40,0,0,0,1444,1496,1206,1443,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
39222258,39222258,40,0,0,0,1466,1495,1213,1437,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
