timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,mode_switch,man_switch,acro_switch,rattitude_switch,stab_switch,posctl_switch
21460161,21431499,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
22468293,22445901,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
23469686,23448882,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
24485156,24464567,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
25486723,25462866,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
26488474,26464975,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
27502806,27482819,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
28523363,28502212,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
29524982,29502754,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
30543825,30521097,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
31564404,31541844,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
32571899,32550093,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
33575123,33552506,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
34591733,34571271,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
35596721,35576824,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
36597188,36574698,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
37618438,37596220,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
38641451,38615100,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
39662157,39638549,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
40666831,40642623,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
41676861,41655569,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
42697230,42674776,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
43697663,43675919,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
44705625,44682967,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
45722477,45701380,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
46727107,46705021,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
47748594,47725040,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
48754182,48733203,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
49762066,49738423,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
50778959,50756729,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
51785511,51764217,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
52789015,52766307,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
53790741,53770639,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
54804418,54781697,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
55822057,55799115,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
56841427,56821124,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
57864046,57840925,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
58865674,58845239,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
59872706,59847887,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
60889786,60868306,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
61896374,61874422,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
62907726,62885766,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
63918716,63895169,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
64922275,64900544,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
65942945,65921379,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
66954642,66931109,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
67966277,67944545,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
68967208,68945854,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
69969827,69947925,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
70981624,70960931,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
71993387,71971897,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
73002217,72980027,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
74018945,73996936,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
75034544,75012139,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
76035377,76021458,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
77049006,77033223,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
78050821,78022608,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
79069723,79041007,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
80079269,80050123,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
81102228,81073477,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
82120355,82090946,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
83137417,83109208,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
84158075,84127793,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
85176597,85146038,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
86200759,86170828,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
88239173,88211972,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
89246284,89217828,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
90269564,90242971,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
91292687,91262572,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
92301373,92273793,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
93323579,93294839,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
94348220,94317938,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
95375680,95346353,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
96407043,96372454,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
97415627,97387157,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
98441785,98411547,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
99460418,99430513,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
100477442,100447566,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
101494622,101464534,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
102507155,102477192,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
103531129,103501628,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
104547675,104519043,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
105565514,105537299,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
106583970,106554166,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
107602846,107573872,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
108626393,108595930,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
109639554,109612144,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
110657693,110630368,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
111674704,111644226,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
112695966,112667509,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
113708590,113685673,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0
