timestamp,voltage_v,rssi_v,free_memory_bytes,actuators[0],actuators[1],actuators[2],actuators[3],actuators[4],actuators[5],actuators[6],actuators[7],servos[0],servos[1],servos[2],servos[3],servos[4],servos[5],servos[6],servos[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_outputs_armed,status_override,status_rc_ok,status_rc_ppm,status_rc_dsm,status_rc_sbus,status_fmu_ok,status_raw_pwm,status_mixer_ok,status_arm_sync,status_init_ok,status_failsafe,status_safety_off,status_fmu_initialized,status_rc_st24,status_rc_sumd,alarm_vbatt_low,alarm_temperature,alarm_servo_current,alarm_acc_current,alarm_fmu_lost,alarm_rc_lost,alarm_pwm_error,alarm_vservo_fault,arming_io_arm_ok,arming_fmu_armed,arming_fmu_prearmed,arming_manual_override_ok,arming_failsafe_custom,arming_inair_restart_ok,arming_always_pwm_enable,arming_rc_handling_disabled,arming_lockdown,arming_force_failsafe,arming_termination_failsafe,arming_override_immediate
22022943,5.005,1.5610001,1384,-10000,-10000,-10000,-10000,-10000,-10000,0,0,1150,1150,1150,1150,1150,1150,0,0,1497,1495,1065,1932,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1
23041848,5.051,1.562,1384,-8757,-8745,-8783,-8759,-8769,-8735,0,0,1196,1197,1195,1196,1196,1197,0,0,1497,1495,1157,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1
24060309,4.993,1.5610001,1384,-9132,-9029,-8634,-7882,-8377,-8534,0,0,1182,1186,1201,1229,1210,1204,0,0,1507,1495,1158,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1
25077958,5.1140003,1.473,1384,-7805,-7077,-8766,-9039,-8276,-7840,0,0,1232,1259,1196,1186,1214,1230,0,0,1496,1495,1190,1545,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1
26101533,5.024,1.562,1384,-7997,-8146,-8135,-8322,-8293,-8175,0,0,1225,1219,1219,1212,1214,1218,0,0,1497,1458,1187,1570,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1
27116029,5.024,1.674,1384,-8329,-8628,-7947,-7810,-8149,-8293,0,0,1212,1201,1226,1232,1219,1214,0,0,1505,1453,1186,1552,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1
28142803,5.0290003,1.6120001,1384,-8221,-8380,-8161,-8222,-8298,-8304,0,0,1216,1210,1218,1216,1213,1213,0,0,1528,1430,1181,1548,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1
29156502,5.143,1.6500001,1384,-7818,-7884,-7934,-8078,-8022,-7946,0,0,1231,1229,1227,1221,1224,1227,0,0,1533,1445,1203,1551,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1
30181919,5.01,1.6170001,1384,-8059,-8329,-7830,-7823,-8031,-8121,0,0,1222,1212,1231,1231,1223,1220,0,0,1499,1440,1197,1547,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1
31202752,5.1600003,1.6100001,1384,-8309,-8406,-8159,-8110,-8221,-8295,0,0,1213,1209,1219,1220,1216,1213,0,0,1496,1435,1182,1538,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1
