timestamp,safety_switch_available,safety_off,override_available,override_enabled
22191364,1,1,0,0
23207168,1,1,0,0
26245949,1,1,0,0
27262146,1,1,0,0
28262609,1,1,0,0
29282122,1,1,0,0
30284230,1,1,0,0
31305428,1,1,0,0
32310951,1,1,0,0
33315522,1,1,0,0
34333150,1,1,0,0
35336009,1,1,0,0
36355599,1,1,0,0
37376379,1,1,0,0
38398694,1,1,0,0
39417499,1,1,0,0
40426423,1,1,0,0
41439886,1,1,0,0
42460063,1,1,0,0
43473974,1,1,0,0
44487370,1,1,0,0
45502364,1,1,0,0
46507931,1,1,0,0
47524979,1,1,0,0
48534878,1,1,0,0
49542906,1,1,0,0
50563594,1,1,0,0
51566108,1,1,0,0
52568114,1,1,0,0
53571663,1,1,0,0
54588593,1,1,0,0
55608160,1,1,0,0
56623219,1,1,0,0
57624942,1,1,0,0
58645728,1,1,0,0
59649888,1,1,0,0
60653337,1,1,0,0
61654735,1,1,0,0
62672000,1,1,0,0
63679053,1,1,0,0
64681941,1,1,0,0
65687933,1,1,0,0
66693289,1,1,0,0
67707619,1,1,0,0
68730625,1,1,0,0
69732913,1,1,0,0
70742381,1,1,0,0
71755316,1,1,0,0
72767116,1,1,0,0
73783050,1,1,0,0
74799178,1,1,0,0
75814844,1,1,0,0
76828279,1,1,0,0
77846089,1,1,0,0
78850477,1,1,0,0
79857975,1,1,0,0
80878078,1,1,0,0
81900264,1,1,0,0
82909893,1,1,0,0
83928304,1,1,0,0
84948429,1,1,0,0
85948985,1,1,0,0
89003178,1,1,0,0
90012083,1,1,0,0
91021136,1,1,0,0
92033589,1,1,0,0
93039082,1,1,0,0
94053784,1,1,0,0
95069147,1,1,0,0
96069611,1,1,0,0
97077824,1,1,0,0
98086451,1,1,0,0
99104642,1,1,0,0
100121316,1,1,0,0
101134367,1,1,0,0
102141237,1,1,0,0
103147575,1,1,0,0
104148106,1,1,0,0
105153210,1,1,0,0
106162903,1,1,0,0
107180515,1,1,0,0
108180637,1,1,0,0
109201852,1,1,0,0
110217496,1,1,0,0
112254361,1,1,0,0
113272840,1,1,0,0
