timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
22224658,22224183,0.9878938,0.0017156476,0.0011382743,-0.15511803,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
22229691,22229146,0.9878934,0.0016898713,0.0011425654,-0.15512109,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
22274595,22274071,0.987892,0.001697915,0.0011502285,-0.15513018,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
22329452,22328980,0.98790103,0.0016868972,0.0011048634,-0.15507238,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
22379379,22378897,0.9879219,0.0017298044,0.001100516,-0.1549392,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
22429304,22428816,0.9879449,0.0016904039,0.0010952869,-0.15479302,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
22474288,22473742,0.9879632,0.0016742491,0.0011145211,-0.1546764,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
22529222,22528720,0.987987,0.0016831786,0.0010837895,-0.15452442,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
22579041,22578567,0.9880067,0.0016774015,0.0010900961,-0.15439825,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
22623958,22623494,0.98802704,0.0016872848,0.0010815042,-0.15426788,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
22673883,22673411,0.98804706,0.00166042,0.0010669484,-0.1541406,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
22728890,22728370,0.9880712,0.0016792618,0.0010706483,-0.15398483,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
22778754,22778237,0.9880972,0.0016710319,0.001110266,-0.15381825,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
22823628,22823163,0.9881283,0.0016753518,0.0010869489,-0.15361775,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
22878601,22878073,0.9881709,0.0016693424,0.0010683062,-0.15334408,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
22928558,22927990,0.9881976,0.001653829,0.0010748024,-0.15317215,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
22978445,22977907,0.9882204,0.0016558222,0.0010824457,-0.15302491,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23028328,23027824,0.988227,0.0016749654,0.0010315911,-0.15298264,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23078194,23077741,0.98824924,0.0016493674,0.0010200894,-0.15283896,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23128173,23127659,0.9882393,0.0025385306,0.0028163437,-0.15286812,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23178175,23177620,0.9882478,0.0032035762,0.0055585117,-0.15272592,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23227997,23227494,0.98828536,0.004167047,0.007120061,-0.15239416,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23277923,23277413,0.988351,0.004255631,0.007349665,-0.15195508,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23327895,23327329,0.9884689,0.0021437681,0.008971468,-0.15114307,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23377813,23377247,0.9886145,0.00043370447,0.00893482,-0.15020502,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23427682,23427164,0.9887474,-0.0011192058,0.009650006,-0.14927967,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23477542,23477082,0.98885566,-0.0037214675,0.010072627,-0.14849025,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23527462,23526999,0.98895884,-0.0066600963,0.0041410998,-0.14798331,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23577423,23576918,0.98899746,-0.008129546,0.0005413926,-0.1477079,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23627289,23626834,0.98908824,-0.006895889,-0.0022129037,-0.14714639,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23677206,23676753,0.98919916,-0.004334475,-0.011338096,-0.14607486,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23727123,23726669,0.9892801,-0.0021746329,-0.020103352,-0.14462385,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23777104,23776588,0.9895366,-0.0011949083,-0.021288246,-0.1426986,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23827006,23826505,0.98997337,-0.0009957132,-0.01515958,-0.14043489,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23876893,23876426,0.99034405,-0.0021347068,-0.0068246676,-0.13844708,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23926807,23926340,0.9906287,-0.0022403677,-0.0012877068,-0.13655819,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
23976718,23976258,0.99087715,-0.0003611184,0.0019564922,-0.13475414,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24026680,24026175,0.9910535,0.0024878802,0.0070623253,-0.13325496,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24076557,24076092,0.99117434,0.0044744085,0.011250236,-0.13201101,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24126468,24126010,0.9913181,0.0044912742,0.010711605,-0.1309713,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24176417,24175957,0.99144655,0.0039130477,0.008315516,-0.13018936,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24226387,24225845,0.99149984,0.0040684864,0.0077927536,-0.12981114,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24276213,24275763,0.9915057,0.003455147,0.0057495553,-0.12989067,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24326145,24325681,0.9914808,0.0025659634,0.0021502073,-0.1302102,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24376051,24375598,0.9913751,0.0021733986,0.0004305819,-0.13103718,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24431014,24430508,0.9912055,0.0016817041,-0.000678724,-0.13231912,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24475932,24475433,0.9910314,0.0004158037,-0.0028778932,-0.13359821,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24525818,24525351,0.99084044,0.00085494475,-0.0006722087,-0.13503367,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24575745,24575269,0.9906194,0.0025207028,0.0029554598,-0.13659483,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24630727,24630178,0.990391,0.0038282764,0.0023945058,-0.13822185,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24675603,24675104,0.9902416,0.0039970353,0.0016594124,-0.13929456,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24725486,24725021,0.9900823,0.003358632,0.0022925064,-0.14042984,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24775401,24774939,0.9899187,0.0025684186,0.0014088579,-0.1416067,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24830351,24829848,0.98971677,0.0018032303,-0.00019946099,-0.14302935,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24875306,24874776,0.9895521,0.0013916048,-0.0004936623,-0.14416884,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24925251,24924765,0.98938215,0.00089022535,0.00024833265,-0.14533511,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
24980059,24979602,0.98921293,0.000398573,-0.00048770252,-0.14648324,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
25025023,25024528,0.9891191,0.00018035127,-0.0014072352,-0.14711079,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
25074991,25074445,0.9891423,0.00020647206,-0.00089195627,-0.14695817,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
25129819,25129355,0.98933095,0.00023828402,-0.0007631841,-0.14568311,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
25179730,25179272,0.98960435,0.00038735,-0.0027052662,-0.14379057,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
25224711,25224198,0.9899421,0.00044610517,-0.0043080207,-0.141407,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
25274637,25274117,0.9904023,0.0006367851,-0.0051066913,-0.13811906,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
25329484,25329025,0.9910245,0.0008554321,-0.005407445,-0.1335681,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
25379443,25378943,0.9916773,0.0010796281,-0.005378184,-0.12863195,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
25424316,25423869,0.99231887,0.0011496479,-0.004948595,-0.123602256,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,1
