timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_rattitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
21981481,1,0,1,0,0,1,1,0,0,0,0,0,0,0
22484601,1,0,1,0,0,1,1,0,0,0,0,0,0,0
22991606,1,0,1,0,0,1,1,0,0,0,0,0,0,0
23499516,1,0,1,0,0,1,1,0,0,0,0,0,0,0
24007982,1,0,1,0,0,1,1,0,0,0,0,0,0,0
24514508,1,0,1,0,0,1,1,0,0,0,0,0,0,0
25021515,1,0,1,0,0,1,1,0,0,0,0,0,0,0
25529718,1,0,1,0,0,1,1,0,0,0,0,0,0,0
26037643,1,0,1,0,0,1,1,0,0,0,0,0,0,0
26546478,1,0,1,0,0,1,1,0,0,0,0,0,0,0
27054481,1,0,1,0,0,1,1,0,0,0,0,0,0,0
27562495,1,0,1,0,0,1,1,0,0,0,0,0,0,0
28070667,1,0,1,0,0,1,1,0,0,0,0,0,0,0
28577510,1,0,1,0,0,1,1,0,0,0,0,0,0,0
29088901,1,0,1,0,0,1,1,0,0,0,0,0,0,0
29594483,1,0,1,0,0,1,1,0,0,0,0,0,0,0
30105507,1,0,1,0,0,1,1,0,0,0,0,0,0,0
30612481,1,0,1,0,0,1,1,0,0,0,0,0,0,0
31112702,1,0,1,0,0,1,1,0,0,0,0,0,0,0
31617504,1,0,1,0,0,1,1,0,0,0,0,0,0,0
32119050,1,0,1,0,0,1,1,0,0,0,0,0,0,0
32629097,1,0,1,0,0,1,1,0,0,0,0,0,0,0
33139419,1,0,1,0,0,1,1,0,0,0,0,0,0,0
33647006,1,0,1,0,0,1,1,0,0,0,0,0,0,0
34154476,1,0,1,0,0,1,1,0,0,0,0,0,0,0
34658481,1,0,1,0,0,1,1,0,0,0,0,0,0,0
35165928,1,0,1,0,0,1,1,0,0,0,0,0,0,0
35676480,1,0,1,0,0,1,1,0,0,0,0,0,0,0
36184651,1,0,1,0,0,1,1,0,0,0,0,0,0,0
36693797,1,0,1,0,0,1,1,0,0,0,0,0,0,0
37203643,1,0,1,0,0,1,1,0,0,0,0,0,0,0
37711879,1,0,1,0,0,1,1,0,0,0,0,0,0,0
38219600,1,0,1,0,0,1,1,0,0,0,0,0,0,0
38720225,1,0,1,0,0,1,1,0,0,0,0,0,0,0
39222482,1,0,1,0,0,1,1,0,0,0,0,0,0,0
39725527,1,0,1,0,0,1,1,0,0,0,0,0,0,0
40744897,1,0,1,0,0,1,1,0,0,0,0,0,0,0
41253870,1,0,1,0,0,1,1,0,0,0,0,0,0,0
41754475,1,0,1,0,0,1,1,0,0,0,0,0,0,0
42266255,1,0,1,0,0,1,1,0,0,0,0,0,0,0
42773820,1,0,1,0,0,1,1,0,0,0,0,0,0,0
43279514,1,0,1,0,0,1,1,0,0,0,0,0,0,0
43785666,1,0,1,0,0,1,1,0,0,0,0,0,0,0
44294741,1,0,1,0,0,1,1,0,0,0,0,0,0,0
44802939,1,0,1,0,0,1,1,0,0,0,0,0,0,0
45303473,1,0,1,0,0,1,1,0,0,0,0,0,0,0
45812479,1,0,1,0,0,1,1,0,0,0,0,0,0,0
46320864,1,0,1,0,0,1,1,0,0,0,0,0,0,0
46829850,1,0,1,0,0,1,1,0,0,0,0,0,0,0
47337479,1,0,1,0,0,1,1,0,0,0,0,0,0,0
47844077,1,0,1,0,0,1,1,0,0,0,0,0,0,0
48347889,1,0,1,0,0,1,1,0,0,0,0,0,0,0
49365638,1,0,1,0,0,1,1,0,0,0,0,0,0,0
49876177,1,0,1,0,0,1,1,0,0,0,0,0,0,0
50384104,1,0,1,0,0,1,1,0,0,0,0,0,0,0
50887214,1,0,1,0,0,1,1,0,0,0,0,0,0,0
51390269,1,0,1,0,0,1,1,0,0,0,0,0,0,0
51893721,1,0,1,0,0,1,1,0,0,0,0,0,0,0
52394479,1,0,1,0,0,1,1,0,0,0,0,0,0,0
