timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
21990421,inf,0,1,1,1,1
22968891,inf,0,1,0,0,1
23977274,inf,0,1,0,0,1
24940623,inf,0,0,0,0,1
25909028,inf,0,1,0,0,1
26917304,inf,0,1,0,0,1
27920711,inf,0,1,0,0,1
27970801,inf,0,1,0,0,0
28978872,inf,0,1,0,0,0
29058912,inf,0,0,0,0,0
30059230,inf,0,0,0,0,0
31060675,inf,0,0,0,0,0
31072194,inf,0,1,0,0,0
32079049,inf,0,1,0,0,0
33088913,inf,0,1,0,0,0
34092165,inf,0,1,0,0,0
35050709,inf,0,0,0,0,0
36057590,inf,0,0,0,0,0
36137462,inf,0,1,0,0,0
37140700,inf,0,1,0,0,0
38149101,inf,0,1,0,0,0
39157424,inf,0,1,0,0,0
40160679,inf,0,1,0,0,0
41170722,inf,0,1,0,0,0
42179104,inf,0,1,0,0,0
43182447,inf,0,1,0,0,0
44189130,inf,0,1,0,0,0
45197516,inf,0,1,0,0,0
46207432,inf,0,1,0,0,0
47214287,inf,0,1,0,0,0
48217734,inf,0,1,0,0,0
50229293,inf,0,1,0,0,0
51239381,inf,0,1,0,0,0
52246174,inf,0,1,0,0,0
52407803,inf,0,0,0,0,0
53221557,inf,0,1,0,0,0
54068256,inf,0,0,0,0,0
55036775,inf,0,1,0,0,0
56044967,inf,0,1,0,0,0
56699165,inf,0,0,0,0,0
57707303,inf,0,0,0,0,0
57787279,inf,0,1,0,0,0
58386376,inf,0,0,0,0,0
59389658,inf,0,0,0,0,0
59569381,inf,0,1,0,0,0
60574740,inf,0,1,0,0,0
60923888,inf,0,0,0,0,0
61663078,inf,0,1,0,0,0
62671117,inf,0,1,0,0,0
63677815,inf,0,1,0,0,0
64686256,inf,0,1,0,0,0
65689573,inf,0,1,0,0,0
66699721,inf,0,1,0,0,0
67703099,inf,0,1,0,0,0
68710062,inf,0,1,0,0,0
69718216,inf,0,1,0,0,0
70728284,inf,0,1,0,0,0
71731675,inf,0,1,0,0,0
71780107,inf,0,0,0,0,0
72788360,inf,0,0,0,0,0
73108045,inf,0,1,0,0,0
73737138,inf,0,0,0,0,0
74470718,inf,0,1,0,0,0
75010125,inf,0,0,0,0,0
75748690,inf,0,1,0,0,0
76757423,inf,0,1,0,0,0
77555857,inf,0,0,0,0,0
78020333,inf,0,1,0,0,0
79028566,inf,0,1,0,0,0
80036971,inf,0,1,0,0,0
81040494,inf,0,1,0,0,0
82048901,inf,0,1,0,0,0
82238778,inf,0,0,0,0,0
83247080,inf,0,0,0,0,0
83316833,inf,0,1,0,0,0
84320214,inf,0,1,0,0,0
85328710,inf,0,1,0,0,0
86337259,inf,0,1,0,0,0
88359008,inf,0,1,0,0,0
89367506,inf,0,1,0,0,0
90370756,inf,0,1,0,0,0
91379325,inf,0,1,0,0,0
92389655,inf,0,1,0,0,0
93393018,inf,0,1,0,0,0
94401185,inf,0,1,0,0,0
95407878,inf,0,1,0,0,0
95987118,inf,0,0,0,0,0
96990539,inf,0,0,0,0,0
97551535,inf,0,1,0,0,0
97790875,inf,0,0,0,0,0
98278537,inf,0,1,0,0,0
99287022,inf,0,1,0,0,0
100290285,inf,0,1,0,0,0
101179168,inf,0,0,0,0,0
102187356,inf,0,0,0,0,0
102357146,inf,0,1,0,0,0
102726591,inf,0,0,0,0,0
103730039,inf,0,0,0,0,0
104488852,inf,0,1,0,0,0
105497234,inf,0,1,0,0,0
106146416,inf,0,0,0,0,0
106930112,inf,0,1,0,0,0
107489289,inf,0,0,0,0,0
108497850,inf,0,0,0,0,0
109506171,inf,0,0,0,0,0
110514785,inf,0,0,0,0,0
111518391,inf,0,0,0,0,0
112526586,inf,0,0,0,0,0
113070720,inf,0,0,1,0,0
113120811,inf,0,0,1,1,0
113170591,inf,0,1,1,1,0
